skill_id,skill_title,skill_type,skill_description_final
46ff76c07ee937c1d4785a323cff7ef6b8e4f554a09b4c3704f65c5fe8ec6302,Advanced Processing Technology,SFw TSC,"Advanced Processing Technology: Develop and implement advanced processing technology to manufacture food products that are appealing, nutritious and have a long shelf life. Optimize production workflows with new advanced processing techniques and technology. Operate manufacturing equipment and explore wider applications of advanced processing methods. Evaluate effectiveness and sustainability of implemented techniques for process improvements."
6620be0f6b0db978a9fde588b1b3877b843ad1b628bd442f18a9d6afe02800e6,Workplace Safety and Health System Management,SFw TSC,Workplace Safety and Health System Management: Developing and implementing safety and health frameworks and procedures to ensure a safe and reliable workplace environment. Promoting workers’ participation in safety and health programmes. Designing and coordinating safety and health management systems in compliance with relevant regulations. Evaluating and improving safety and health management systems.
367ac878d66b9c57df660e9e4678c22d4add07be3427c4f7bdabaee91d94def2,Metallic Material Characterisation,SFw TSC,"Metallic Material Characterisation: Testing and evaluating engineering materials for use in manufacturing components. Assessing the suitability of superalloys, ceramics and other unconventional materials for manufacturing. Identifying and evaluating the properties of metals for engineering applications."
01395b5e9723edc540731c2daeefdbb0508eef8b61dd7522ffe600173460c2e9,Chemstation,Apps and Tools,"Chemstation is a powerful analytical software tool used to control, analyze, and report data from chromatography and mass spectrometry instruments. It provides a comprehensive suite of tools to help scientists and engineers quickly and accurately analyze complex data."
e3857baffcdc0ceef44d39a6ade80248a358459c656f4b8fa217c72eca2dcf2d,Perform Fitting Works in Workshop,SFw TSC,Perform Fitting Works in Workshop: This skill involves the use of hand tools and equipment to assemble components in a workshop setting. Learners will gain the knowledge and ability to accurately and safely fit components together.
014491053bd5f8fc3bd6d4a242be2e3dbdbbf3d79710778f25580ce70f781347,MAS 610 Reporting,Apps and Tools,"MAS 610 Reporting refers to the regulatory requirement imposed by the Monetary Authority of Singapore (MAS) for financial institutions to submit regular reports on their financial positions, risk management, and compliance with relevant regulations, ensuring transparency and regulatory oversight in the financial sector."
018bb207e5cea3036e36872e61a3a9d432d23b4a199661e7494f0f0607e57951,JUnit,Apps and Tools,"JUnit is a unit testing framework for Java that allows developers to quickly and easily test code. It provides a simple and intuitive way to write tests, execute them, and check results. JUnit is an essential tool for any Java developer."
00c8360da3a4cf3cb747e10487a21cfa3b6c1ed31e10a98aaf1058de9f8fa8db,Service Planning and Implementation,SFw TSC,Service Planning and Implementation: Develop and implement strategies to optimise service operations. Utilise resources to deliver excellent service and manage operations according to guidelines to achieve desired outcomes.
e577190b359a6cae626cec9135ec78145a65631c03ed4f12d4ef55fca4a21a20,Chemical Reagent Management,SFw TSC,"Chemical Reagent Management: Prepare and manage chemical reagents, blending and solutions according to established quality and Standard Operating Procedures (SOPs). Monitor efficiency of procedures and recommend changes to ensure quality and compliance. Supervise preparation of reagents, blending and solutions."
0215768d99677d9bfa4d4d8d26372237c1d717e047740bbf647641a7d5ba1046,Plaxis 2D/3D,Apps and Tools,"PLAXIS 2D/3D is a powerful geotechnical engineering software for the analysis of deformation and stability in soil and rock. It offers a wide range of features, including advanced finite element analysis, soil-structure interaction, and groundwater flow analysis."
0234f10eb860ac51cef8626d64c37eac0e3bd9e3887529850a789da13b892588,Tonometry,Apps and Tools,"Tonometry is a medical tool used to measure the pressure inside the eye. It is used to diagnose and monitor glaucoma, a condition that can lead to vision loss. Tonometry is a quick and painless procedure that can help detect and treat glaucoma early."
6d5622bfd10c14b21ef6b8c1bfc514c89a7eb6e8aefadc8808df2ecfe616436b,Feedstock and Product Transfer Operations Management,SFw TSC,"Feedstock and Product Transfer Operations Management: Skill in performing feedstock and product transfer and blending operations to meet operational requirements, including developing SOPs, interpreting operating procedures, and controlling work processes."
2c6a73d35f5a90b04abf40558b137e7f5ae46e58ace127f5da470110567029a1,Engineering Drawing Interpretation and Management,SFw TSC,"Engineering Drawing Interpretation and Management: Interpret and apply engineering drawings and documentation to support engineering activities, identify areas for improvement, and coordinate activities."
fb95364a000da731ccfc6d9704d3a4e3389483b4362278d84947598a75f8ca7e,Engineering Standards Audit and Assessment,SFw TSC,Engineering Standards Audit and Assessment: Analyse and review data to ensure compliance with established standards. Develop strategies to address any gaps identified. Execute audits and coordinate audit schedules. Collaborate with auditors to review audit submissions and recommend corrective actions.
026c59a790df093d8bac65127545962afae6051cc55bde440e6410707dc8c8a7,AS9100,Apps and Tools,AS9100 is an internationally recognized quality management system standard for the aerospace industry. It provides a framework for organizations to ensure their products and services meet customer and regulatory requirements. It also helps organizations to improve their performance and reduce costs.
8a053532ac415daf69aad3479fe20d22bfbcca43171541f8df8c5b8b6f25b6a6,Support Service to Children and Youths,SFw TSC,"Support Service to Children and Youths: Provide support services to children and youths to ensure their overall well-being. Identify needs and provide appropriate assistance, while guiding them to relevant resources. Monitor progress and review support needs."
147106d3796bcf8c084196fc8344638fbeea7950bedf00f431960753cb7606b4,"Health, Safety and Environment Procedures Implementation",SFw TSC,"Health, Safety and Environment Procedures Implementation: Ensure a safe work environment by applying Health, Safety and Environment (HSE) procedures, evaluating performance, and formulating improvements. Monitor and implement HSE procedures to protect oneself and others."
0b7dedf06e1fdae2e54c00ab81091890561719bec2539257ce2dcf7d65995590,Geotechnical Engineering Management,SFw TSC,"Geotechnical Engineering Management: Skill in managing the design, technical specification, selection, modification, and troubleshooting of equipment, structures, and systems to provide engineering support to teams in construction, maintenance, and project management. Ability to interpret designs, technical specifications, and procedures, and to develop and implement designs, technical specifications, and maintenance procedures to ensure high standards of engineering support."
885d515298c1a77f0dc0273e637e90639775d659625f4fe509f2947c09ead8de,Human Resource Systems Management,SFw TSC,Human Resource Systems Management: Develop and maintain human resource management systems to ensure efficient and effective operations. Analyze business needs and create guidelines to ensure successful implementation and evaluation of the systems.
02bd175f329720378ce83dd56a1b6b1f5291a60182d6c54b5e0d1e8d248a267a,JSON,Apps and Tools,JavaScript Object Notation (JSON) is a lightweight data interchange format. It is widely used for data storage and communication between systems. It uses a human-readable text format to represent data objects consisting of key-value pairs.
02c6bb0bff5f9bb6769b07a82354ff6b7a6557016220cb512f8deb9ffb347af9,Apache Ant,Apps and Tools,"Apache Ant is a Java-based build tool used for automating software build processes. It is an open-source tool that helps developers compile, test, and package Java applications. It is easy to use and provides a platform-independent way to build applications."
44c341146c685017d2c94704baffda8c9f71ea25eef3e887cdbae64135e02694,Fire Prevention and Firefighting,SFw TSC,"Fire Prevention and Firefighting: Fire safety and emergency response management, including overseeing progress of emergency response efforts, developing measures to mitigate fires, implementing emergency response efforts, developing coordinated strategies with external agencies, and executing fire response protocols and drills."
02f6c5b31083679d44f545f9d885bbcbefbadaa3b89346c5c493e643b7bfa2d6,Amazon Kinesis,Apps and Tools,"Amazon Kinesis is a real-time data streaming service that enables you to collect, process, and analyze large amounts of streaming data from multiple sources. It helps you build applications that can process and analyze streaming data in real-time, allowing you to gain insights and take action quickly."
8c146f32cd25bf1f6f4ebc12866c6b66bae9740edb219008b5a1487d960decfb,Propeller Principles Application,SFw TSC,"Propeller Principles Application: Apply principles of propeller theory and construction to maintain, repair, overhaul or manufacture aircraft propellers and auxiliary systems. Follow OEM manuals and organisational procedures to ensure accuracy and safety."
d108f532fdc444080e7f13be8d46b03ea7d9a4361c6dadf274b3ad6f608f5dc2,Operational Technology Security Design,SFw TSC,"Operational Technology Security Design: Develop and implement operational technology security frameworks, standard operating procedures and risk mitigation plans to ensure secure daily operations. Research and recommend process improvements based on the latest security trends."
dbd7de87a072f853936d02379480a2242c53e55aa913a6a36c4a5a36718af834,Social Service (Early Intervention) Programme Development and Implementation,SFw TSC,"Social Service (Early Intervention) Programme Development and Implementation: Develop, implement and monitor programmes for stakeholders, manage Centre-level programmes, and influence sector-wide development. Refine planning, implementation and evaluation of programmes for scaling up across multiple Centres, and advocate for rigorous methodologies of planning, implementation and evaluation."
036a6b7f63584af698bd831e75a631c130b6b24ce30b6aeed23c026634257223,PrestoDB,Apps and Tools,"PrestoDB is an open source distributed SQL query engine designed to query large datasets quickly and efficiently. It is optimized for interactive analytics and supports standard ANSI SQL, including complex queries, aggregations, and joins."
037749a05083a33b5c3194fc46a9ab782664372158f86ca43d5d091645d9393f,Apache Subversion (SVN),Apps and Tools,"Apache Subversion (SVN) is a version control system that helps developers manage changes to source code over time. It allows users to track changes, revert to previous versions, and review the history of their project."
c334219b312d86ae2ea5e4b2a5bf777bf4ca03465f0d0791b8cca8963e5f5ac7,Tree Climbing and Aerial Rescues,SFw TSC,"Tree Climbing and Aerial Rescues: Climbing and aerial rescue skills, including advanced tree climbing and simple aerial rescues, as well as basic tree climbing under supervision. Ability to access trees and carry out arboriculture works or aerial rescue in an emergency situation."
f04d5afe7157134127bab4ef532a4b9fb261e43a3cd240fc15983661195d7baa,Mechanical Rotating Equipment Engineering Management,SFw TSC,"Mechanical Rotating Equipment Engineering Management: Provide mechanical engineering discipline support to production, maintenance and project teams by managing the design, technical specification, selection, modification and troubleshooting of mechanical rotating equipment, structures and systems. Evaluate and interpret design, technical specifications, modification designs, constructability methods, maintenance procedures and asset integrity to ensure high standards of support."
037c09c9fae5d1551fd6384010e321603ff430ce792f691adf745613a3f91002,Couchbase,Apps and Tools,"Couchbase is an open-source, distributed NoSQL document-oriented database. It is designed to provide a flexible, scalable, and high-performance database solution for modern applications. It offers powerful features such as full-text search, eventing, analytics, and more."
79ffad47309b8b14aa18eb87b4b4ae307b97d94e980e3f6714ba9b631085783f,Product Design and Development,SFw TSC,"Product Design and Development: Leading the design and development of new products from concept to market, including evaluating product suitability, formulating strategic directions, and establishing plans to meet customer and market needs. Ensuring compliance with business and regulatory requirements."
039abb33833d2e6b7f40ccab27137c53240d3c9c3ca05766b08929cb6e15ddf2,Autodesk Revit,Apps and Tools,"Autodesk Revit is a powerful Building Information Modeling (BIM) software that helps architects, engineers, and construction professionals design, build, and maintain higher-quality, more energy-efficient buildings. It enables users to create 3D models, visualize designs, and analyze projects."
e0c6bfa0d8532341d7f69c46aa42f939077f243ad41ed061937ca80c97a6b91b,Navigation and Position Determination,SFw TSC,Navigation and Position Determination: Plan and execute safe navigation of a vessel along a planned route. Monitor and adjust the voyage to ensure safe passage and accurate positioning.
03be4f85fe43317931241ffcd84b1c529e197c2cc6729920a445da239d4e21ed,Apache Flink,Apps and Tools,Apache Flink is an open-source distributed streaming platform for real-time data processing. It enables users to easily develop and run powerful data-driven applications in a fault-tolerant manner. Flink's APIs allow for efficient and robust data processing pipelines that can scale to meet the needs of any organization.
03e8d9a4e0aa86da5ebcf87a05d1b02d65de133462161a285a55b7c8dc0ca994,Microsoft Azure Proactive,Apps and Tools,"Microsoft Azure Proactive is a cloud-based platform that helps businesses automate and streamline their operations. It provides a comprehensive suite of tools to help businesses manage their resources, monitor performance, and optimize their processes."
04b1d00954f25c48d393b497b9e3337f66641494617fa2cc89fa597439c91d59,Programme Management,SFw TSC,"Programme Management: Programme management: Develop and implement programmes to support organisational objectives and growth, ensuring effective learning experiences are delivered. Direct programmes in alignment with organisational goals and manage learner placement."
d8676d311e035fbc80c249be137faa43778c73292888c1636733851297b3ae13,Soil and Media Assessment and Remediation,SFw TSC,"Soil and Media Assessment and Remediation: Skill in assessing, testing, and improving soil and media quality to meet the needs of specific plants. Ability to sample, test, and remediate soil and media to create optimal growing conditions. Experience in executing amelioration plans to ensure soil and media meet growth requirements."
4ebd35eb0fbb4290b0e2bfe9e9f70d65f2fb3ece2d49da84a6d575a78815fb65,Low Voltage Switchboard Maintenance,SFw TSC,"Low Voltage Switchboard Maintenance: Skill in performing preventive and corrective maintenance activities on low voltage switchboards, including troubleshooting and repair."
dd694dd16ceeb1493427f38c1ebbe925b2587bd84ac31bbbc61843f06030e522,Sales Management,SFw TSC,"Sales Management: Develop and implement sales plans to achieve business objectives. Monitor and evaluate effectiveness, propose refinements, and modify plans to guide achievement. Integrate macro trends, industry trends, and internal business factors into overarching sales strategy."
042e9398f2cc89025595d077503121a4a5a41d153d6863caa4c7332c8f1029f6,DigitalOcean,Apps and Tools,"DigitalOcean is a cloud computing platform that provides developers with the tools to easily deploy, manage, and scale applications of any size. It offers a wide range of features, including virtual machines, block storage, and managed databases."
d437bb803c850f90d52b3416da5687141e3489163f9a86fa2d3bef59b0cf243d,Health Promotion,SFw TSC,Health Promotion: Developing and implementing health promotion activities to optimise the health and well-being of clients and the general public. Synergising cross-disciplinary goals to define population health objectives and advocating these outcomes at a national level to achieve a healthy society.
e8a39fd6e2d852f7aa8fbd2e9fcd9456e50a89c14372c74a0367295b796aa471,Nacelle Mechanical Structures Maintenance,SFw TSC,"Nacelle Mechanical Structures Maintenance: Skill in identifying and using appropriate resources to maintain and repair mechanical structures, with the ability to conduct functional checks in accordance with technical manuals and organisational procedures."
40f1203914c86c7a5c68526125315bb148b11d8cc5a35faf11b27cbc0061e3e0,Airfield Specialised Systems Maintenance and Design,SFw TSC,Airfield Specialised Systems Maintenance and Design: Maintain and enhance specialised systems to meet operational requirements. Inspect systems and develop maintenance strategies to ensure optimal operating conditions. Drive integration of new technologies to meet future needs. Administer maintenance schedules and analyse performance to recommend maintenance and design measures.
0494f6afda3f44f219d766e96857410ac3d8e2756e5211801775c47695491e6b,x86 Instruction Set,Apps and Tools,"x86 instruction set is a set of instructions used by Intel and AMD processors to perform operations on data. It is the most widely used instruction set in the world, and is used in most modern computers. It is highly optimized for performance and power efficiency."
182157694e472a870ddee041b883b00646504f930a642d30faa40a50051c09f8,Ship Seaworthiness and Pollution Prevention,SFw TSC,"Ship Seaworthiness and Pollution Prevention: Maintain and monitor ship stability and compliance with pollution-prevention regulations. Monitor trim, stability, and stress levels, and ensure compliance with applicable laws and regulations."
503648c3f344fd74b7f4bcfd37ec9740a01db625ae6f36f02ef632f0f61b5401,Aircraft Fuel and Engine Systems Maintenance,SFw TSC,"Aircraft Fuel and Engine Systems Maintenance: Perform maintenance and testing of aircraft fuel and engine systems using appropriate resources and methods. Identify and use the correct tools, equipment, materials and procedures to ensure proper functioning. Conduct functional tests to verify maintenance work."
99adadc2dabf89ed0d343531cbc749b7d530241082c26b0fb3bb9b1af02184f7,Chromatography Equipment Operation and Control,SFw TSC,"Chromatography Equipment Operation and Control: Operate and troubleshoot complex equipment, verify conditions, and implement procedures to ensure successful operation."
0549e836108aab45fb1de4fa6063a440ab464a61bf5ded5cc7f02706bc094ed4,Wrike,Apps and Tools,"Wrike is a project management tool that helps teams collaborate and stay organized. It offers features such as task management, file sharing, real-time updates, and more to help teams stay on track and get work done."
05bf8d37cbee0a171a3c827c7369a8f9ed0354750c1884211342b1aa170f2346,AWSodepipeline,Apps and Tools,AWSodepipeline is an automated deployment tool that simplifies the process of deploying applications to AWS. It helps developers quickly and easily deploy applications to AWS with minimal effort and time.
3e7a43fab88d0fc44bc73ca03740f610ba7021c7c67d3245ef488e56c9d96b9b,Airport Service Quality Management,SFw TSC,"Airport Service Quality Management: Developing and driving improvements in service quality standards, establishing strategies to sustain a culture of continuous improvement, reviewing SOPs to enhance service quality, administering operations to ensure adherence to quality standards, and developing quality standards to boost effectiveness."
05e1e2cc3ed57079d4df5f805ca764af979a903376b4d682bb43681d6ccd5b28,Corel Draw,Apps and Tools,"Corel Draw is a powerful vector graphics editor used for creating logos, illustrations, and other graphic designs. It offers a wide range of tools and features to help you create stunning visuals with ease."
27ff5262e5df89cdec74c4d72264650ea981a743e0ca4355d6d0056749087177,Sales Closure,SFw TSC,"Sales Closure: Develop and implement sales strategies to close sales and ensure customer satisfaction. Manage customer queries and payments, and perform numerical calculations to complete sales. Supervise sales processes and develop organisational guidelines to improve sales closure."
c87252d63507fce159292402bfa905a30ad48f157d8be543b729edab97b27e43,Survival Craft and Rescue Boats,SFw TSC,Survival Craft and Rescue Boats: Leadership and control of emergency response vessels in crisis situations. Ability to launch and manage vessels in order to provide assistance and rescue.
729d0987cc947dcfb37758686cf416e10b48fc8d3398380d4486262c3b147bb4,Pipeline Damage Prevention Management,SFw TSC,"Pipeline Damage Prevention Management: Developing and implementing strategies to protect pipelines from damage, including supervising sites, formulating risk reduction measures, and monitoring third-party activities. Educating stakeholders on evacuation activities in the event of damage."
0100b2827ec246b23e8e3104a1579657ab1b537e650b30ac7ad457a88f32b7fb,Business Continuity Management,SFw TSC,"Business Continuity Management: Developing and implementing strategies to ensure the continuity of critical business functions in the event of disruptions, and formulating risk mitigation plans to minimise the impact of such disruptions."
06364d648ab073c33c89f7550646f6df663da11fed7fa536b85eb5399cba3ea0,Glassfish,Apps and Tools,"Glassfish is an open source application server that provides a comprehensive infrastructure for developing and deploying Java-based applications. It is lightweight, extensible, and secure, making it an ideal choice for enterprise applications."
063de0773639dd9f2b3047465a825bea1c752c53177f51acd573cf1e17accdbc,SolidWorks,Apps and Tools,"Solidworks is a powerful 3D CAD design tool used by engineers and designers to create, simulate, and analyze 3D models. It offers a wide range of features to help you create complex designs quickly and accurately."
7ea536772451a22ab78c24a717488fbaf49aa4c9c737ce9d26cba5abff271ace,Content Development and Strategy,SFw TSC,"Content Development and Strategy: Develop and implement content strategies to engage target audiences and align with business objectives. Brainstorm ideas, create plans, and lead the development of tools and processes to ensure successful execution."
6d3e6c384dc5ff50a7f618de3245d9cb3af969af138ee074173d207d162683c4,Security Assessment and Testing,SFw TSC,"Security Assessment and Testing: Conducting security testing to identify and evaluate system vulnerabilities, and designing security testing plans to protect data and maintain system functionality. Executing vulnerability scans, penetration testing, and intelligence analysis to identify security lapses and potential attack vectors. Establishing organisation guidelines and strategies for security testing."
0662bf17ad214c77c6d708321a6bc5bce0b1ea1d98831cda3210cb22c238157e,Weka (Waikato Environment for Knowledge Analysis),Apps and Tools,"Weka is a powerful open-source data mining tool that enables users to explore, visualize, and analyze data. It provides a comprehensive suite of machine learning algorithms for data mining tasks, such as classification, clustering, and association rule mining."
ba0858b2ffdb7e99e682c017671b15c3fc94ce61bf6b7add64fe55c942e94be1,Track Access Management,SFw TSC,"Track Access Management: Manage access to a designated area, ensuring security and compliance with organizational and regulatory requirements. Develop strategies for safe and efficient access, and create and optimize plans and rules. Monitor access schedules and requests to prioritize access, and facilitate access with relevant security measures."
afea178d80c38e06fe9f61777ad984833424177c578800aee64577a9fc656f92,Contract Administration and Management,SFw TSC,"Contract Administration and Management: Developing and managing contracts, including formulating strategies, advising on conditions, and supporting documentation processes."
f2ce14170ff2c91397987e465e62f72053df0850e21b5ce26a592adc282f8ad0,Valuation of Different Classes of Interest,SFw TSC,Valuation of Different Classes of Interest: Analyze and evaluate complex financial information to determine the value of different interests. Review and apply key considerations and principles to ensure accuracy and compliance with requirements.
89a8c9174e006d6b0a58b6bd5f54c8426fc5f5a939c954686a6222fb24a5e871,2D Animation,SFw TSC,2D Animation: Create 2D animated sequences for incorporation into various media content. Lead the creative and technical development of 2D animation to achieve artistic and technical goals. Establish artistic direction and creative approaches to guide development. Develop 2D animation sequences for characters and specialised animations.
91103fc9f57a0d5c71a8f9aedf916cdaffe8d44d1b467b35927f498163c17e77,Content Rating and Compliance,SFw TSC,"Content Rating and Compliance: Ensure compliance with laws, regulations and social values when publishing and exhibiting media content. Develop and enforce policies and processes for content ratings, and assign ratings based on regulatory guidelines."
103a63b7179e1c1ac58a4edbb9b869fe303d9bdd51fbb6dd92f6a0fab7676bf8,Civil Structure Maintenance,SFw TSC,"Civil Structure Maintenance: Carry out visual inspections and preventive and corrective maintenance on civil structures, buildings and fittings. Implement corrective action plans and provide technical support in testing and maintenance of defects."
415ee03d7b786fccfe3fb12600b4a3b99a134afeed8830340b185bcf120a437d,Customer Service Delivery,SFw TSC,"Customer Service Delivery: Provide quality customer service by anticipating customer needs, developing service delivery models, customizing solutions, responding to customer requests, and identifying potential problems and risks."
ebbb8598bdce361c4a0a5e89881ebc8b82266b7515536d69e815773e80c6bd94,Rail Regulatory Compliance,SFw TSC,"Rail Regulatory Compliance: Demonstrated ability to ensure compliance with rail legislative and regulatory requirements, develop internal work processes, and administer enforcement mechanisms. Skilled in formulating policies and guidelines for corporate governance, and developing SOPs to facilitate compliance. Experienced in monitoring compliance, reporting issues, and applying action plans in the event of non-compliance."
5a4e9723c7f71ab97c35353c0422417495ae5dc3e39c6b8b2533c7fe93e5bb38,Pneumatic Systems Management,SFw TSC,"Pneumatic Systems Management: Design, repair, and operate complex mechanical systems. Perform maintenance and testing to ensure optimal performance. Troubleshoot and resolve issues with mechanical systems in a manufacturing environment."
d860d08b77d3bcb7aac9b29f5acdfe7026b64c7e04e852e94b0d4fa4d7fd98b1,Marketing Management,SFw TSC,Marketing Management: Develop and execute marketing strategies to achieve organisational goals. Analyse market trends and customer behaviour to identify opportunities and develop plans to capitalise on them. Monitor and evaluate the effectiveness of marketing activities.
076e6b0f7ad434a974d7630e59d9ac5821f1d0b896aaecb99954d22642bfdc53,AWS Fargate,Apps and Tools,"AWS Fargate is a serverless compute engine for containers that works with Amazon ECS and EKS. It eliminates the need to manage servers, allowing you to focus on building and running applications. Fargate makes it easy to deploy and scale containerized applications quickly and cost-effectively."
48bf5c08e3fcac0e45b5132ef43d4b960a1f096ea144cfea555f6336185b875c,Aircraft Electrical Equipment and Accessories Maintenance,SFw TSC,"Aircraft Electrical Equipment and Accessories Maintenance: This skill involves the maintenance and repair of electrical equipment and accessories, including AC and DC machines, power contactors, circuit breakers, relays and lighting accessories. It requires the use of appropriate tools, equipment, materials and methods, as well as the ability to identify and use relevant resources and conduct functional checks."
56a39f88b40faf719565122078ffc47b40b7f196528a39c0dea91e40dca09f38,Furniture and Furnishing Maintenance,SFw TSC,Furniture and Furnishing Maintenance: Maintain cleanliness and hygiene of furniture and furnishings using appropriate mechanical devices. Follow processes and procedures to ensure quality of cleaning. Supervise and review cleaning processes to ensure accuracy.
65b5d381680387ee1f18e1a494df0ae91df13e569f44da158f07b120485f3c23,Sales Trends and Opportunities Analysis,SFw TSC,"Sales Trends and Opportunities Analysis: Analyse sales trends and data to devise new sales and marketing opportunities, manage inventory, evaluate sales strategies, and pursue new sales leads to meet organisational objectives."
07bc6985fdaa18fb51a728e59f53f15d9866ab8d5c9403bd6696cb831d252936,Robotium,Apps and Tools,"Robotium is an Android testing tool that helps developers automate UI tests for their apps. It is easy to use and supports multiple Android versions, allowing developers to quickly and efficiently test their apps."
357de2c74770fb600b53dc98b7888ea4a18e4289e61dd521958858df5fdede23,Pest Control Site Assessment and Analysis,SFw TSC,"Pest Control Site Assessment and Analysis: Lead the planning and execution of assessments to develop strategies for mitigating pest activity and preventing future pest problems. Conduct site assessments to evaluate sites against established objectives and guidelines, and assist in conducting assessments to check for pest infestation. Analyze and evaluate assessment results to develop objectives and guidelines."
,,SFw TSC,
080baa17c90b5e97f32d94164cb0ec3f1729753654e21295166499bb454b88c8,Redux,Apps and Tools,"Redux is a predictable state container for JavaScript apps. It helps you write applications that behave consistently, run in different environments, and are easy to test. With Redux, you can manage the state of your application with a single immutable data structure."
6295ff539ffcc6594c90a95dd455192267a7ac97331ca7fdf742050f637cd4b1,Media Storage Record Maintenance,SFw TSC,"Media Storage Record Maintenance: Monitoring and maintaining records of essential information to ensure compliance with regulations, as well as operating and reviewing closed-circuit television systems."
09a34c444a03276b91098ee179b2de0e02ddb4361d694b4fb72c1bb3cd36ea12,Product Advisory,SFw TSC,"Product Advisory: Develop and maintain detailed product knowledge, recommend complementary products, design customised solutions, and identify potential products to address customer needs. Lead sales proposals and synthesise high-level trends in the financial services sector."
08129f11c96ffd1e75b7ac9f990892f9fea39e8a460a80c2fd78bc1562ea29c9,LUA (Programming Language),Apps and Tools,"Lua is a powerful, fast, lightweight, embeddable scripting language. It is designed to be used as a scripting language for applications, and is widely used in game development, web development, and other areas. It is easy to learn and use, and provides powerful features for creating efficient and robust applications."
8d762f35a59196ca68a683fcb38beb5b18294abb7273400f69ffd93e93623d65,Capital Raising,SFw TSC,"Capital Raising: Raise capital and funds to achieve organisational goals. Lead capital raising initiatives, applying corporate funding principles and evaluating strategic considerations. Design cash management solutions."
dc84ee099ec99122eb28e85596389d7fd7c0850c200e10d058d354c095e42fbb,Process Modelling,SFw TSC,Process Modelling: Developing and optimising manufacturing processes through the application of statistical techniques. Analysing relationships between processes and conceptualising design and optimisation of process operations and manufacturing facilities.
