skill_component_id,skill_component_alias,time_added
0215768d99677d9bfa4d4d8d26372237c1d717e047740bbf647641a7d5ba1046,plaxis 2d,2022-08-03 14:45:10
0215768d99677d9bfa4d4d8d26372237c1d717e047740bbf647641a7d5ba1046,plaxis 3d,2022-08-03 14:45:10
0234f10eb860ac51cef8626d64c37eac0e3bd9e3887529850a789da13b892588,tonometry,2022-08-03 14:45:10
024afd842b34e98a808aec177383798b79a8c33f4b15ec53e2fb69a54017f429,flight route development,2022-08-03 14:45:10
024afd842b34e98a808aec177383798b79a8c33f4b15ec53e2fb69a54017f429,flight route plan,2022-08-03 14:45:10
02540942346fdfbf21a94f8b823af2ae315f20cb71721c2cc6e205097d560840,interview,2022-08-03 14:45:10
026c59a790df093d8bac65127545962afae6051cc55bde440e6410707dc8c8a7,as9100 quality management system,2022-08-03 14:45:10
0278ba5959133f0fd5409a2cd2aee7c2af265bbcaa5c6d82acaa1767dc7f40ac,"health, safety and environment procedures implementation",2022-12-06 18:43:52
02799d612a6d312cee3d49037501d7ad28d7a104af8e93558f08125b6ada67c2,platform screen door,2022-08-03 14:45:10
029f38e339154fd5ad1805fbf4032b9308d6b4b0e676981fede99276fbd1b778,introduce new product,2022-08-03 14:45:10
029f38e339154fd5ad1805fbf4032b9308d6b4b0e676981fede99276fbd1b778,introduce product,2022-08-03 14:45:10
029f38e339154fd5ad1805fbf4032b9308d6b4b0e676981fede99276fbd1b778,introduction of new product,2022-08-03 14:45:10
029f38e339154fd5ad1805fbf4032b9308d6b4b0e676981fede99276fbd1b778,product introduction,2022-08-03 14:45:10
02bd175f329720378ce83dd56a1b6b1f5291a60182d6c54b5e0d1e8d248a267a,json,2022-08-03 14:45:10
02c6bb0bff5f9bb6769b07a82354ff6b7a6557016220cb512f8deb9ffb347af9,apache ant,2022-08-03 14:45:10
02caff9a98cb821d1fcebaa838408ce39671f7fad08f881fb6b2a625153ae223,tour leading,2022-08-03 14:45:10
02f3b72618252ae7e46139e39c592db5aa02487da633ffa386a60b6ef7e396d2,change request management,2022-08-03 14:45:10
02f3b72618252ae7e46139e39c592db5aa02487da633ffa386a60b6ef7e396d2,manage change request,2022-08-03 14:45:10
02f6c5b31083679d44f545f9d885bbcbefbadaa3b89346c5c493e643b7bfa2d6,amazon kinesis,2022-08-03 14:45:10
02f6c5b31083679d44f545f9d885bbcbefbadaa3b89346c5c493e643b7bfa2d6,aws kinesis,2022-08-03 14:45:10
0305d20ed6ac2d1a970c3f05978dd995148f1896d6583187cedf8272d5dc940d,propeller principles application,2022-12-06 18:43:52
031e8337df4b9aab83cfa613416b52351c93df678c5f71950ae09f1229086c24,in-flight emergency,2022-08-03 14:45:10
031e8337df4b9aab83cfa613416b52351c93df678c5f71950ae09f1229086c24,inflight emergency,2022-08-03 14:45:10
032ec7b20f0d99f3b5ad95ee79e76b31f993c4f6f0ceb1dd5ddca77cf90deab8,skin exposure risk,2022-08-03 14:45:10
0334f82381c45fd8e74f35bc0b94b30e3cecfb720326084ddf892721eecfd4ec,brain-storm for new idea,2022-08-03 14:45:10
0334f82381c45fd8e74f35bc0b94b30e3cecfb720326084ddf892721eecfd4ec,brainstorm for new idea,2022-08-03 14:45:10
0334f82381c45fd8e74f35bc0b94b30e3cecfb720326084ddf892721eecfd4ec,come up with new idea,2022-08-03 14:45:10
0334f82381c45fd8e74f35bc0b94b30e3cecfb720326084ddf892721eecfd4ec,generate new idea,2022-08-03 14:45:10
0334f82381c45fd8e74f35bc0b94b30e3cecfb720326084ddf892721eecfd4ec,idea brain-storming,2022-08-03 14:45:10
0334f82381c45fd8e74f35bc0b94b30e3cecfb720326084ddf892721eecfd4ec,idea brainstorming,2022-08-03 14:45:10
0334f82381c45fd8e74f35bc0b94b30e3cecfb720326084ddf892721eecfd4ec,idea generation,2022-08-03 14:45:10
0334f82381c45fd8e74f35bc0b94b30e3cecfb720326084ddf892721eecfd4ec,ideation,2022-08-03 14:45:10
0334f82381c45fd8e74f35bc0b94b30e3cecfb720326084ddf892721eecfd4ec,think of new idea,2022-08-03 14:45:10
03586ceb5ac00226722167aa4e8c26572a42229253526c06d12d31eb30afd049,augmented reality,2022-08-03 14:45:10
0358a727447835c29bb0d944bb6fc8459cecbde550f8cd89a6823014b8205cc3,social service (early intervention) programme development and implementation,2022-12-05 13:16:23
036a6b7f63584af698bd831e75a631c130b6b24ce30b6aeed23c026634257223,prestodb,2022-08-03 14:45:10
03743533c91f213b4cbe4274c4ca313b56bb3e514707ce4a7a0805a949105761,content editing,2022-08-03 14:45:10
03743533c91f213b4cbe4274c4ca313b56bb3e514707ce4a7a0805a949105761,content proof read,2022-08-03 14:45:10
03743533c91f213b4cbe4274c4ca313b56bb3e514707ce4a7a0805a949105761,content proof-read,2022-08-03 14:45:10
03743533c91f213b4cbe4274c4ca313b56bb3e514707ce4a7a0805a949105761,content vetting,2022-08-03 14:45:10
03743533c91f213b4cbe4274c4ca313b56bb3e514707ce4a7a0805a949105761,edit content,2022-08-03 14:45:10
03743533c91f213b4cbe4274c4ca313b56bb3e514707ce4a7a0805a949105761,proof-reading of content,2022-08-03 14:45:10
03743533c91f213b4cbe4274c4ca313b56bb3e514707ce4a7a0805a949105761,vet through the content,2022-08-03 14:45:10
037749a05083a33b5c3194fc46a9ab782664372158f86ca43d5d091645d9393f,apache svn,2022-08-03 14:45:10
037c09c9fae5d1551fd6384010e321603ff430ce792f691adf745613a3f91002,couchbase,2022-08-03 14:45:10
039137323cb2f41ab349d6db5b76d673a6c77ad57b4eeee2fed0a9e806431b6b,product design and development,2022-12-06 18:43:52
039abb33833d2e6b7f40ccab27137c53240d3c9c3ca05766b08929cb6e15ddf2,autodesk revit,2022-08-03 14:45:10
039abb33833d2e6b7f40ccab27137c53240d3c9c3ca05766b08929cb6e15ddf2,revit,2022-08-03 14:45:10
039c97675360072b8fb5c88a83db0d04e31315e71c21eb278686946fea57ee2b,navigation and position determination,2022-12-06 18:43:52
039d6add7ee0b6cf3cd97ffc914f663fa2e36f853824d8c4371c63f33b237d88,manufacturing,2022-08-03 14:45:10
03be4f85fe43317931241ffcd84b1c529e197c2cc6729920a445da239d4e21ed,apache flink,2022-08-03 14:45:10
03e421a7cb3a8be68340cfeeb0915897130d01b0f2f2f63fca7c41fddfa86e24,visual design guideline,2022-08-03 14:45:10
03e421a7cb3a8be68340cfeeb0915897130d01b0f2f2f63fca7c41fddfa86e24,visual graphics style guideline,2022-08-03 14:45:10
03e421a7cb3a8be68340cfeeb0915897130d01b0f2f2f63fca7c41fddfa86e24,visual style guideline,2022-08-03 14:45:10
03e421a7cb3a8be68340cfeeb0915897130d01b0f2f2f63fca7c41fddfa86e24,visual styling guideline,2022-08-03 14:45:10
03e4398f9959b8e0232e69d34596857c7081bd9ba5e763c574106d030608a75f,ambulation assistance,2022-08-03 14:45:10
03e4398f9959b8e0232e69d34596857c7081bd9ba5e763c574106d030608a75f,mobility assistance,2022-08-03 14:45:10
03e8d9a4e0aa86da5ebcf87a05d1b02d65de133462161a285a55b7c8dc0ca994,azure,2022-08-03 14:45:10
03e8d9a4e0aa86da5ebcf87a05d1b02d65de133462161a285a55b7c8dc0ca994,microsoft azure proactive,2022-08-03 14:45:10
03f5ea111239eb864aa1cf6f696d77af2b1ff9b151034e30f27a3a06bdd0ecf4,manage a programme,2022-08-03 14:45:10
03f5ea111239eb864aa1cf6f696d77af2b1ff9b151034e30f27a3a06bdd0ecf4,manage the programme,2022-08-03 14:45:10
03f5ea111239eb864aa1cf6f696d77af2b1ff9b151034e30f27a3a06bdd0ecf4,management of the programme,2022-08-03 14:45:10
03f5ea111239eb864aa1cf6f696d77af2b1ff9b151034e30f27a3a06bdd0ecf4,managing a programme,2022-08-03 14:45:10
03f5ea111239eb864aa1cf6f696d77af2b1ff9b151034e30f27a3a06bdd0ecf4,managing the programme,2022-08-03 14:45:10
03f5ea111239eb864aa1cf6f696d77af2b1ff9b151034e30f27a3a06bdd0ecf4,programme management,2022-08-03 14:45:10
03f824db9a1f601e1e4d5c827e11b7c1847b70937bf2facf6c78cbadfe9be654,soil and media assessment and remediation,2022-12-06 18:43:52
041cf0b653af81b057c04da90964e14ac595d6f606860c9e21da827d189c13df,low voltage switchboard maintenance,2022-12-06 18:43:52
0420e0e5b33e7c1c8592789981e62e7ac79fc7bb734300371b2f0aa25396f132,process unit,2022-08-03 14:45:10
04219a23329000ee15a4fbe3f23435d4d2f0c8735af4ed41e8e441ad44bad535,analyse sales,2022-08-03 14:45:10
04219a23329000ee15a4fbe3f23435d4d2f0c8735af4ed41e8e441ad44bad535,analyze sales,2022-08-03 14:45:10
04219a23329000ee15a4fbe3f23435d4d2f0c8735af4ed41e8e441ad44bad535,maximise sales,2022-08-03 14:45:10
04219a23329000ee15a4fbe3f23435d4d2f0c8735af4ed41e8e441ad44bad535,maximize sales,2022-08-03 14:45:10
04219a23329000ee15a4fbe3f23435d4d2f0c8735af4ed41e8e441ad44bad535,monitor sales,2022-08-03 14:45:10
04219a23329000ee15a4fbe3f23435d4d2f0c8735af4ed41e8e441ad44bad535,sales management,2022-08-03 14:45:10
042d28343fb4a2c4bfcbca05aa5f198e0d726de2637d78ec97d8efd38dd4a651,sale of ship,2022-08-03 14:45:10
042d28343fb4a2c4bfcbca05aa5f198e0d726de2637d78ec97d8efd38dd4a651,ship sale,2022-08-03 14:45:10
042d28343fb4a2c4bfcbca05aa5f198e0d726de2637d78ec97d8efd38dd4a651,ship selling,2022-08-03 14:45:10
042e9398f2cc89025595d077503121a4a5a41d153d6863caa4c7332c8f1029f6,digital ocean,2022-08-03 14:45:10
042e9398f2cc89025595d077503121a4a5a41d153d6863caa4c7332c8f1029f6,digitalocean,2022-08-03 14:45:10
0434f6d54ab0f0167e2b35cdad05119ebd79d9a949dc9162a5cbcaa9259e0d7e,health promotion,2022-08-03 14:45:10
0434f6d54ab0f0167e2b35cdad05119ebd79d9a949dc9162a5cbcaa9259e0d7e,promote health,2022-08-03 14:45:10
0434f6d54ab0f0167e2b35cdad05119ebd79d9a949dc9162a5cbcaa9259e0d7e,promotion of health,2022-08-03 14:45:10
048a66a252d77aa4f06fd7ba4acb339e7b78a463718d4f4ebd8919668e4f0687,tour and travel service product,2022-08-03 14:45:10
048a66a252d77aa4f06fd7ba4acb339e7b78a463718d4f4ebd8919668e4f0687,tour and travel services product,2022-08-03 14:45:10
048a66a252d77aa4f06fd7ba4acb339e7b78a463718d4f4ebd8919668e4f0687,tour service product,2022-08-03 14:45:10
048a66a252d77aa4f06fd7ba4acb339e7b78a463718d4f4ebd8919668e4f0687,travel service product,2022-08-03 14:45:10
0494f6afda3f44f219d766e96857410ac3d8e2756e5211801775c47695491e6b,x86,2022-08-03 14:45:10
0494f6afda3f44f219d766e96857410ac3d8e2756e5211801775c47695491e6b,x86_64,2022-08-03 14:45:10
0494f6afda3f44f219d766e96857410ac3d8e2756e5211801775c47695491e6b,x86-64,2022-08-03 14:45:10
0494f6afda3f44f219d766e96857410ac3d8e2756e5211801775c47695491e6b,x86/64,2022-08-03 14:45:10
049c209f8af0bda892a34521962e67dbed1a30fc7aa64962b4c47eac02d8badf,heavy lifting equipment,2022-08-03 14:45:10
049c209f8af0bda892a34521962e67dbed1a30fc7aa64962b4c47eac02d8badf,heavy lifting machine,2022-08-03 14:45:10
04a052caed0c5c54138f8b258100962aa46a146299d5a881670e6bb24015d7d4,assemble product,2022-08-03 14:45:10
04a052caed0c5c54138f8b258100962aa46a146299d5a881670e6bb24015d7d4,product assembly,2022-08-03 14:45:10
04bf113185e62f276fd6428c50d1fa0c1dd3b80852e706de708a72fd168bcb76,audit for quality,2022-08-03 14:45:10
04bf113185e62f276fd6428c50d1fa0c1dd3b80852e706de708a72fd168bcb76,auditing for quality,2022-08-03 14:45:10
04bf113185e62f276fd6428c50d1fa0c1dd3b80852e706de708a72fd168bcb76,audits for quality,2022-08-03 14:45:10
04bf113185e62f276fd6428c50d1fa0c1dd3b80852e706de708a72fd168bcb76,quality audit,2022-08-03 14:45:10
04c41e0b16ee10e7ebb34a360c2197a066ae5163ba1ee26e5a6beca252d73016,gas hose leak,2022-08-03 14:45:10
04c41e0b16ee10e7ebb34a360c2197a066ae5163ba1ee26e5a6beca252d73016,gas hoses leak,2022-08-03 14:45:10
04c41e0b16ee10e7ebb34a360c2197a066ae5163ba1ee26e5a6beca252d73016,gas leak,2022-08-03 14:45:10
04c41e0b16ee10e7ebb34a360c2197a066ae5163ba1ee26e5a6beca252d73016,gas pipeline leak,2022-08-03 14:45:10
04c41e0b16ee10e7ebb34a360c2197a066ae5163ba1ee26e5a6beca252d73016,gas pipelines leak,2022-08-03 14:45:10
04c41e0b16ee10e7ebb34a360c2197a066ae5163ba1ee26e5a6beca252d73016,gas seal leak,2022-08-03 14:45:10
04ca1b233344a66c112bbcc2d35c022d5b0bd17557888b54c41043d501cb164b,aircraft fuel and engine systems maintenance,2022-12-06 18:43:52
04defbe4fcd0b199c36d9a1025f712d7acf1a014a76809469888c06af9d6de6e,vehicle camera,2022-08-03 14:45:10
04f30d212c809b7068b706ea10ed5812f136dbc27c402f7b08d50b919dec0cd6,agile development,2022-08-03 14:45:10
04f30d212c809b7068b706ea10ed5812f136dbc27c402f7b08d50b919dec0cd6,agile method,2022-08-03 14:45:10
04f30d212c809b7068b706ea10ed5812f136dbc27c402f7b08d50b919dec0cd6,agile software development,2022-08-03 14:45:10
04fc5ad23c2943261bd2593c00672b6bc5b62b32601930de0e9bc230f076cf27,flight irregular operation,2022-08-03 14:45:10
0536b7778c351d4b8d473eb876d1fab2f210024c9176d02344ee7b7e9f7ea39e,commercialisation,2022-08-03 14:45:10
0536b7778c351d4b8d473eb876d1fab2f210024c9176d02344ee7b7e9f7ea39e,commercialising,2022-08-03 14:45:10
0536b7778c351d4b8d473eb876d1fab2f210024c9176d02344ee7b7e9f7ea39e,commercialization,2022-08-03 14:45:10
0536b7778c351d4b8d473eb876d1fab2f210024c9176d02344ee7b7e9f7ea39e,commercializing,2022-08-03 14:45:10
053c835b33159f90fef4f0b4c6439fba715c7573ce38053e6ad2dad90097908c,material use,2022-08-03 14:45:10
0549e836108aab45fb1de4fa6063a440ab464a61bf5ded5cc7f02706bc094ed4,wrike,2022-08-03 14:45:10
0551318f9f03d05afb43d0e495bfbced0e8b41d49dc09b496aed232e1d855b51,landscape design,2022-08-03 14:45:10
0551318f9f03d05afb43d0e495bfbced0e8b41d49dc09b496aed232e1d855b51,landscape development,2022-08-03 14:45:10
05a94998ea93ab584e9a5c615ff3b5b256b9358203afb944dc66cc4885de2188,aircraft brakes,2022-08-03 14:45:10
05a94998ea93ab584e9a5c615ff3b5b256b9358203afb944dc66cc4885de2188,aircraft wheel,2022-08-03 14:45:10
05aea4159b010d9c8df7be27bd3f61958f6355d4d4612e18cc46203b7c579e52,financial statement,2022-08-03 14:45:10
05bf8d37cbee0a171a3c827c7369a8f9ed0354750c1884211342b1aa170f2346,aws codepipeline,2022-08-03 14:45:10
05c9a94731bf94d12c95592f6cde67a256e61a0e39c37756edab245ddb145e35,content rating,2022-08-03 14:45:10
05c9a94731bf94d12c95592f6cde67a256e61a0e39c37756edab245ddb145e35,rating for content,2022-08-03 14:45:10
05c9a94731bf94d12c95592f6cde67a256e61a0e39c37756edab245ddb145e35,rating for media content,2022-08-03 14:45:10
05e1e2cc3ed57079d4df5f805ca764af979a903376b4d682bb43681d6ccd5b28,corel draw,2022-08-03 14:45:10
05ebd984c8420f393af8da987fe149c28a5d3956c74dc364a0e9a96b3138d5ff,close sales,2022-08-03 14:45:10
05ebd984c8420f393af8da987fe149c28a5d3956c74dc364a0e9a96b3138d5ff,sales closure,2022-08-03 14:45:10
05fb610935966bb732f034cc642635f6bdbd0ed0980113276a5669eb1aeb2349,bus  rail fare,2022-08-03 14:45:10
05fb610935966bb732f034cc642635f6bdbd0ed0980113276a5669eb1aeb2349,bus fare collection,2022-08-03 14:45:10
05fb610935966bb732f034cc642635f6bdbd0ed0980113276a5669eb1aeb2349,collect bus fare,2022-08-03 14:45:10
0615f48185bf2c0ffcd6f645dc553fea9f0d22a22de3edbb7e0e054a1457d1cb,bus engine,2022-08-03 14:45:10
0623233d3df75cb72e953aad36c629872ab734c6d42746ce51599941a8c93135,business continuity management,2022-12-05 13:16:23
0624dcacc90bfd20bd9e4e89e0e2552e98af7978122d61dcf302207ef4eb7b52,livestock cargo,2022-08-03 14:45:10
06364d648ab073c33c89f7550646f6df663da11fed7fa536b85eb5399cba3ea0,glassfish,2022-08-03 14:45:10
063de0773639dd9f2b3047465a825bea1c752c53177f51acd573cf1e17accdbc,(solid works),2022-08-03 14:45:10
063de0773639dd9f2b3047465a825bea1c752c53177f51acd573cf1e17accdbc,solid works,2022-08-03 14:45:10
063de0773639dd9f2b3047465a825bea1c752c53177f51acd573cf1e17accdbc,solidworks,2022-08-03 14:45:10
06486af666a8ae3bcf5045b7f9b691c34f74c5b79d0651200e2ca6e74475b985,content development and strategy,2022-12-06 18:43:52
0662bf17ad214c77c6d708321a6bc5bce0b1ea1d98831cda3210cb22c238157e,waikato environment for knowledge analysis,2022-08-03 14:45:10
0662bf17ad214c77c6d708321a6bc5bce0b1ea1d98831cda3210cb22c238157e,weka,2022-08-03 14:45:10
06a1014664f28ba0cf2f3efdca3a3b70831d4331684977817cb8337f33d29780,contract administration and management,2022-12-06 18:43:52
06a550b6a974930415548d9b65ecda7d0578bca2e0d3b938b5128aa66722c748,valuation of different classes of interest,2022-12-06 18:43:52
06af44f8be51bb27146bf6b66867a9adf7337344ddad8a8f7d5db943ef155ed1,2 d animation,2022-08-03 14:45:10
06af44f8be51bb27146bf6b66867a9adf7337344ddad8a8f7d5db943ef155ed1,2-d animation,2022-08-03 14:45:10
06af44f8be51bb27146bf6b66867a9adf7337344ddad8a8f7d5db943ef155ed1,2d animation,2022-08-03 14:45:10
06b38ceeac2663f3ddab1ac5b123fbeca074a67d4808c4d4d86ae5f92463cfc1,control system,2022-08-03 14:45:10
06e63e7f4ae0e87b459535b81804d0536a3c2cc3fd23ec25dfd5d5465ac99731,asbestos risk,2022-08-03 14:45:10
072254a3685a7c4e432bae02f0a96d7c8df1c63a0d1c57d828ad381af5b46b94,marketing management,2022-12-06 18:43:52
0728c8fc04e468e1d3e10d3c4e8cc00339c5dbf8b48006357721fa003b10985f,inclusion at the workplace,2022-08-03 14:45:10
0728c8fc04e468e1d3e10d3c4e8cc00339c5dbf8b48006357721fa003b10985f,inclusion at work,2022-08-03 14:45:10
0728c8fc04e468e1d3e10d3c4e8cc00339c5dbf8b48006357721fa003b10985f,inclusive workforce,2022-08-03 14:45:10
0728c8fc04e468e1d3e10d3c4e8cc00339c5dbf8b48006357721fa003b10985f,workforce inclusion,2022-08-03 14:45:10
0729b81afda020e9ee173c3e86d94e5225a34976884776d5bfb27f606abec08d,nursing,2022-08-03 14:45:10
076e6b0f7ad434a974d7630e59d9ac5821f1d0b896aaecb99954d22642bfdc53,aws fargate,2022-08-03 14:45:10
0771422b73b1c30dce0afd3fa181e748f9e25606cff7ab4781a42d735cdb5a56,attractions transportation,2022-08-03 14:45:10
0771422b73b1c30dce0afd3fa181e748f9e25606cff7ab4781a42d735cdb5a56,transportation in tourist attractions,2022-08-03 14:45:10
0771422b73b1c30dce0afd3fa181e748f9e25606cff7ab4781a42d735cdb5a56,transportation to local attractions,2022-08-03 14:45:10
0777bbae31855f2c7e5652ff62a484b59186a734bea86ed0f02eebce3569fe21,operational risk,2022-08-03 14:45:10
0777bbae31855f2c7e5652ff62a484b59186a734bea86ed0f02eebce3569fe21,operations risk,2022-08-03 14:45:10
0797c55b07837ea9c925d3f2d25373af8e926d7b7bece344b4a7cfeeb881f6e2,aircraft electrical equipment and accessories maintenance,2022-12-06 18:43:52
07bc6985fdaa18fb51a728e59f53f15d9866ab8d5c9403bd6696cb831d252936,robotium,2022-08-03 14:45:10
07cd315d105b82faa8271d78e56297df4951b32ac32682a3d02da882d96197f3,attractions experience,2022-08-03 14:45:10
07cd315d105b82faa8271d78e56297df4951b32ac32682a3d02da882d96197f3,experience at local attractions,2022-08-03 14:45:10
07cd315d105b82faa8271d78e56297df4951b32ac32682a3d02da882d96197f3,experience of local attractions,2022-08-03 14:45:10
07d715edb696fb5f628f7298e5d7217ed4d2bdfc5347a1c55fee30832267f21d,power,2022-08-03 14:45:10
07e10b4c76f3b233b3a290a668bdb55b8981ba069d24406d2702bac4b805fe8a,climate-mitigating features in built environment,2022-12-06 18:43:52
07ee75357e8123bcae085e370652e71b7133dd1bf7fb0f04db4b5e05f6ee1db9,aircraft landing,2022-08-03 14:45:10
0805b57cb102c66b77de74e9b7904e55cfab64186fc43418ad12b083f9d344ae,digital prototyp,2022-08-03 14:45:10
0805b57cb102c66b77de74e9b7904e55cfab64186fc43418ad12b083f9d344ae,technology prototyp,2022-08-03 14:45:10
080baa17c90b5e97f32d94164cb0ec3f1729753654e21295166499bb454b88c8,redux,2022-08-03 14:45:10
080e78ab281bb7ee48cb4f2c1ccc1ef1dd2f469327e76d9b5f3fb70eb7764395,product advisory,2022-08-03 14:45:10
08129f11c96ffd1e75b7ac9f990892f9fea39e8a460a80c2fd78bc1562ea29c9,lua,2022-08-03 14:45:10
082b2b5900a03a0000b748729aa99b7d754556c9f9a436532df5ef3753ca41be,capital raising,2022-08-03 14:45:10
082b2b5900a03a0000b748729aa99b7d754556c9f9a436532df5ef3753ca41be,capital sourcing,2022-08-03 14:45:10
082b2b5900a03a0000b748729aa99b7d754556c9f9a436532df5ef3753ca41be,fund sourcing,2022-08-03 14:45:10
082b2b5900a03a0000b748729aa99b7d754556c9f9a436532df5ef3753ca41be,raise capital,2022-08-03 14:45:10
082b2b5900a03a0000b748729aa99b7d754556c9f9a436532df5ef3753ca41be,source for capital,2022-08-03 14:45:10
082b2b5900a03a0000b748729aa99b7d754556c9f9a436532df5ef3753ca41be,source for fund,2022-08-03 14:45:10
0832edc2e97af8579af893d9c1a61eb886f0644a8871a044deb7b839c0e4009e,civil emergency,2022-08-03 14:45:10
08346e1b7369e0d1900bb8c062ee81a6704d8823cb7d44abe6a5f591e5d3a46a,process model,2022-08-03 14:45:10
08423839ca52bff1df1c08c8bb08013de7c28d057aa515009193d203b0fea9f3,learning mode,2022-08-03 14:45:10
08423839ca52bff1df1c08c8bb08013de7c28d057aa515009193d203b0fea9f3,mode of learning,2022-08-03 14:45:10
0860f2616ab58a9c6152f5109d2f37cc9f210b7c80850b80348a45bc487fbee0,fluentd,2022-08-03 14:45:10
0880edd38bffc58804e9df3e26d7e05c88a564ffd559e16127ecd49629aadc61,aircraft manual handling,2022-12-06 18:43:52
089950ae52dee9bedce427d642a2876d74d8e0e9bd8c949dbecb33948303dfad,postcss,2022-08-03 14:45:10
08aa9ba165f30c8129b5c9daf72304706290cd3a08237d597e3a8193246aae9c,radio frequency,2022-08-03 14:45:10
08b31988b5a3257d851fae5fa99d0e1c84e427f3dd0f46213da7861aa25cd37f,financial asset management,2022-08-19 03:09:27
08b31988b5a3257d851fae5fa99d0e1c84e427f3dd0f46213da7861aa25cd37f,investment asset management,2022-08-19 03:09:27
